20191121T123003.000Z,934788,355
20191122T100131.000Z,939533,476
20191122T133906.000Z,944221,169
20191122T163648.000Z,948609,643
20191122T174849.000Z,953459,643
20191122T182046.000Z,958315,560
20191122T191918.000Z,963091,578
20191122T192350.000Z,967890,550
20191122T192705.000Z,972656,531
20191122T211140.000Z,977406,532
20191123T091102.000Z,982153,596
20191123T094121.000Z,986970,429
20191123T094217.000Z,991614,560
20191123T105439.000Z,996394,373
20191123T105733.000Z,1000982,690
20191123T111313.000Z,1005883,494
20191123T170509.000Z,1010594,587
20191123T213849.000Z,1015402,578
20191123T220111.000Z,1020198,783
20191123T220251.000Z,1025278,643
20191123T220722.000Z,1030123,700
20191124T162113.000Z,1035033,420
20191124T163405.000Z,1339693,708
20191124T164350.000Z,1344613,644
20191124T165125.000Z,1349464,588
20191124T165958.000Z,1354266,559
20191124T210527.000Z,1359032,532
20191124T213112.000Z,1663819,522
20191125T101105.000Z,1668548,588
20191125T110206.000Z,1875348,476
20191125T124304.000Z,1880037,493
20191125T125058.000Z,1884744,568
20191125T175711.000Z,1889516,505
20191125T185156.000Z,1894243,467
20191125T185643.000Z,1898916,726
20191125T203613.000Z,1903853,568
20191125T220427.000Z,1908801,541
20191126T094151.000Z,1913547,485
20191126T103844.000Z,1918246,838
20191126T110646.000Z,1923291,513
20191126T120324.000Z,1928015,615
20191126T154601.000Z,1932837,521
20191126T154921.000Z,1937572,448
20191126T155205.000Z,1942224,598
20191126T160046.000Z,1947035,467
20191126T161306.000Z,1951710,428
20191126T161612.000Z,1956352,523
20191126T162118.000Z,1961083,606
20191126T174844.000Z,1965903,495
20191126T190437.000Z,1970605,447
20191126T190912.000Z,1975267,448
20191126T192737.000Z,1979924,607
20191126T193754.000Z,1984746,521
20191126T200647.000Z,1989479,532
20191126T214351.000Z,1994223,625
20191126T235644.000Z,1999055,486
20191127T080141.000Z,2003766,465
20191127T165916.000Z,2008451,532
20191127T184127.000Z,2013198,401
20191127T185223.000Z,2017819,475
20191127T192106.000Z,2022509,512
20191127T195952.000Z,2027233,559
20191127T205615.000Z,2032009,662
20191127T213735.000Z,2036879,735
20191127T214305.000Z,2041829,626
20191128T093933.000Z,2046666,476
20191128T111549.000Z,2051356,504
20191128T130150.000Z,2098176,512
20191128T151220.000Z,2102896,560
20191129T182931.000Z,2107672,541
20191129T190853.000Z,2112421,606
20191129T191904.000Z,2117245,568
20191129T200635.000Z,2122198,587
20191129T201128.000Z,2126991,745
20191129T201451.000Z,2131953,835
20191129T202440.000Z,2137008,839
20191129T204049.000Z,2142062,578
20191129T222017.000Z,2146850,769
20191130T001910.000Z,2151841,602
20191130T132243.000Z,2156662,708
20191130T155605.000Z,2161586,699
20191130T181931.000Z,2166496,504
20191130T182306.000Z,2171214,466
20191130T182919.000Z,2175890,531
20191130T184918.000Z,2180637,485
20191130T231809.000Z,2185341,549
20191130T232944.000Z,2190109,503
20191201T131005.000Z,2194833,699
20191201T131935.000Z,2302161,801
20191201T132946.000Z,2307172,542
20191202T094602.000Z,2311932,680
20191202T103825.000Z,2316823,732
20191202T141507.000Z,2321785,503
20191202T152016.000Z,2326498,511
